objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Wondrous Creatures: Crew Set","427606","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574999","5.74975","8.00401","2.3333","0","2628","thing","Wondrous Creatures: Crew Set","1","4","80","80","40","2024","2,3,4","3","","","","","","","","expansion","","11.99","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Bad Comet","English","2024","English edition"
"Wondrous Creatures: Gargantuan Beasts","427607","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574962","5.7676","8.10357","3","0","2814","thing","Wondrous Creatures: Gargantuan Beasts","1","4","80","80","40","2024","2,3,4","3","","","","","","","","expansion","","14.49","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Bad Comet","English","2024","English edition"
"World Wonders","365258","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134203505","7.00969","7.61451","2.2722","479","11195","thing","World Wonders","1","5","70","70","50","2023","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","39.99","USD","","","2025-04-29","Arcanewonders.com","","","","","Arcane Wonders; MeepleBR; MUNDUS","English","2023","English edition"
"World Wonders: Mundo Wonders Pack","406746","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134203517","5.98481","8.07099","2.3333","0","3486","thing","World Wonders: Mundo Wonders Pack","1","5","70","70","50","2024","1,2,3,4,5","1,2,3,4","","No necessary in-game text","","","","","","expansion","","17.99","USD","","","2025-04-29","Arcanewonders.com","","","","","Arcane Wonders","English","2024","English edition"
"Wormholes","350689","7.8","3","0","1","0","0","0","0","0","0","0","2","","","","","","109763067","5.99991","7.0189","2.1923","3140","2246","thing","Wormholes","1","5","45","45","45","2022","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wroth","414117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135572597","5.9919","7.46018","2.2571","3178","2307","thing","Wroth","1","4","60","60","60","2025","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","59.39","USD","","","2025-08-19","AtomicEmpire.com","1","","","","Chip Theory Games","English","2025","English edition"
"Wroth: Paldeyn","417507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135572600","5.57533","8.40172","2","0","1119","thing","Wroth: Paldeyn","1","4","60","60","60","2025","2","2","","","","","","","","expansion","","18.26","USD","","","2025-08-19","AtomicEmpire.com","1","","","","Chip Theory Games","English","2025","English edition"
"Wroth: Venna","417506","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135572603","5.57273","8.33128","2","0","1112","thing","Wroth: Venna","1","4","60","60","60","2025","2","2","","","","","","","","expansion","","18.26","USD","","","2025-08-19","AtomicEmpire.com","1","","","","","","",""
"Wyrmspan","410201","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","114900046","7.51385","7.96522","2.816","128","30692","thing","Wyrmspan","1","5","90","90","90","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"YRO","402207","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134038632","5.95281","7.44884","2.0435","3432","1352","thing","YRO","1","5","30","30","20","2024","1,2,3,4,5","3,4","8","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","24.5","USD","","","2025-07-03","Manyrealms.com","","","","","Play to Z","English","2024","English edition"
"Zoo Vadis","368061","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","111488078","6.76428","7.47381","2.1122","798","7398","thing","Zoo Vadis","3","7","40","40","20","2023","4,5,6,7","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
